run_id,learning_rate,batch_size,buffer_size,hidden_units,num_layers,time_horizon,beta,gamma,lambd,final_10_percent_reward_mean,mean_reward,max_reward,min_reward,late_phase_std,all_rewards_std,convergence_detected,convergence_episode,episodes_after_convergence,total_episodes,training_duration_seconds,config_hash,config_path,error_occurred,created_at,updated_at,error_message,max_steps
3DBall_20260117_184435_n1fmue,0.001,512,8192,256,1,64,0.0003,0.95,0.92,413.898362989324,175.582673056443,500.02,4.2,224.698664325824,227.964048708509,true,53,2764,2817,384,8296133108139899911,,false,2026-01-17 17:50:59.956061,2026-01-17 17:50:59.956061,,1000000
3DBall_20260117_185100_xttgmz,0.0001,32,8192,32,1,64,0.01,0.97,0.97,500.02,116.877771790808,500.02,4.4,233.919836804441,196.229231640248,true,58,3097,3155,371,883231631413611017,,false,2026-01-17 17:57:12.292361,2026-01-17 17:57:12.292361,,750000
3DBall_20260117_185713_y5dtms,0.003,32,8192,256,2,128,0.03,0.95,0.95,227.286580310881,41.5616916709778,500.02,3.6,134.18562561611,109.269960206211,true,53,5746,5799,339,-3358770026677810952,,false,2026-01-17 18:02:52.63294,2026-01-17 18:02:52.63294,,500000
3DBall_20260117_190253_a8gwdg,0.00001,32,32768,512,1,32,0.003,0.97,0.9,398.600054525627,53.1546282973621,500.02,4.3,172.233877305393,128.957906917145,true,62,9112,9174,576,-7785380100285798440,,false,2026-01-17 18:12:29.87907,2026-01-17 18:12:29.87907,,1000000
3DBall_20260117_191230_vs27ao,0.001,2048,2048,512,1,32,0.003,0.95,0.95,394.891770833333,192.709345114345,500.02,3.8,212.755044490576,226.989783201001,true,53,1871,1924,297,-5863353352952291094,,false,2026-01-17 18:17:27.963246,2026-01-17 18:17:27.963246,,750000
3DBall_20260117_191728_ilgbv3,0.00003,512,8192,512,3,64,0.1,0.95,0.97,349.809180327869,48.8516386726751,500.02,4.5,157.352304674484,117.579529935402,true,56,2385,2441,155,-8141096415390418079,,false,2026-01-17 18:20:03.920023,2026-01-17 18:20:03.920023,,250000
3DBall_20260117_192004_4fazvy,0.0001,1024,1024,256,2,128,0.01,0.995,0.95,247.246443148688,107.510535039256,500.02,4.4,161.685656546982,146.590417958223,true,79,3360,3439,308,-6888936265725820081,,false,2026-01-17 18:25:13.554614,2026-01-17 18:25:13.554614,,750000
3DBall_20260117_192514_jnphuu,0.00003,32,4096,32,1,128,0.0001,0.95,0.92,44.6231442080378,18.5577659658241,269.21,4.3,23.3409899225295,18.1969311716268,true,68,12631,12699,268,-1533283701754820029,,false,2026-01-17 18:29:42.543127,2026-01-17 18:29:42.543127,,500000
3DBall_20260117_192943_dr0vm1,0.00003,128,2048,512,3,128,0.0001,0.95,0.99,487.898196721312,201.901112019624,500.02,4.6,195.090257042786,234.444169251932,true,78,1145,1223,357,-3346140591373827307,,false,2026-01-17 18:35:40.7978,2026-01-17 18:35:40.7978,,500000
3DBall_20260117_193541_9tancr,0.0001,32,8192,512,1,64,0.03,0.9,0.9,500.02,77.7859489633174,500.02,4.3,211.094399388843,163.763507649367,true,101,3034,3135,279,6097147586371196686,,false,2026-01-17 18:40:20.573121,2026-01-17 18:40:20.573121,,500000
3DBall_20260117_194021_bmhr1i,0.003,256,8192,64,3,64,0.01,0.97,0.9,500.02,220.217271111111,500.02,4.5,167.727226323284,239.937621508077,true,51,2199,2250,393,113825665548036605,,false,2026-01-17 18:46:54.887009,2026-01-17 18:46:54.887009,,1000000
3DBall_20260117_194655_nbci0u,0.003,128,32768,512,1,32,0.0001,0.99,0.9,447.787159904535,58.2550584446565,500.02,4.1,182.039939407896,137.526815208714,true,54,8330,8384,463,5348416004933880848,,false,2026-01-17 18:54:38.969308,2026-01-17 18:54:38.969308,,1000000
3DBall_20260117_195439_gawvyl,0.003,256,2048,256,1,128,0.001,0.9,0.97,475.298734177215,153.983324968632,500.02,4.9,232.672652803879,217.294054470588,true,61,736,797,99,-2199403381379548412,,false,2026-01-17 18:56:18.951156,2026-01-17 18:56:18.951156,,250000
3DBall_20260117_195619_pivxyr,0.00001,512,8192,256,3,32,0.0001,0.97,0.97,317.120492610837,47.9259635647464,500.02,4.2,146.627209225025,110.019068043233,true,96,10059,10155,475,4522238001328440578,,false,2026-01-17 19:04:15.542938,2026-01-17 19:04:15.542938,,1000000
3DBall_20260117_200416_jx0f66,0.00003,512,8192,128,3,32,0.001,0.97,0.99,381.505787234043,51.8086851799377,500.02,4.4,164.215046427311,123.173160319274,true,114,6944,7058,328,7625878214781281272,,false,2026-01-17 19:09:44.538544,2026-01-17 19:09:44.538544,,750000
3DBall_20260117_200945_f7mnx5,0.003,2048,4096,512,3,32,0.003,0.95,0.97,500.02,216.172217036173,500.02,4.5,171.232998302652,235.864947700786,true,63,1651,1714,441,-7429109992540632511,,false,2026-01-17 19:17:07.128103,2026-01-17 19:17:07.128103,,750000
3DBall_20260117_201707_wf0n8f,0.00003,32,16384,512,1,256,0.1,0.9,0.95,496.346465364121,65.2581172291297,500.02,4.1,192.564289477992,146.76015334512,true,52,5578,5630,457,986094031756929194,,false,2026-01-17 19:24:45.379442,2026-01-17 19:24:45.379442,,750000
3DBall_20260117_202446_egrgdc,0.00001,256,8192,512,1,128,0.0001,0.95,0.9,15.9552164261931,12.7705924775325,63.8,4.1,6.52964069527464,5.69209531034909,true,57,17969,18026,284,-2101536447036811815,,false,2026-01-17 19:29:31.01109,2026-01-17 19:29:31.01109,,500000
3DBall_20260117_202931_eg12qb,0.00001,32,8192,64,2,256,0.03,0.97,0.95,259.936761904762,38.3846505234218,500.02,4.3,136.61236601401,100.527944663727,true,52,9405,9457,439,3355567196955842260,,false,2026-01-17 19:36:51.620768,2026-01-17 19:36:51.620768,,750000
3DBall_20260117_203652_kkh1en,0.001,256,4096,32,1,256,0.003,0.999,0.99,487.259294117647,144.624545987112,500.02,5,227.781256941567,208.695719313332,true,100,1607,1707,188,-24504923713760801,,false,2026-01-17 19:40:00.972915,2026-01-17 19:40:00.972915,,500000
3DBall_20260117_204001_eyygem,0.003,256,1024,64,3,32,0.03,0.995,0.95,468.413148148148,343.306289134438,500.02,3.7,156.269445864131,224.240943143945,true,50,1036,1086,303,3679484064266402873,,false,2026-01-17 19:45:05.105236,2026-01-17 19:45:05.105236,,750000
3DBall_20260117_204505_frul19,0.00003,128,2048,512,1,256,0.01,0.99,0.97,183.127283950617,49.8508822322528,500.02,4.5,119.963622764386,92.6938617722869,true,113,2324,2437,117,6724131309095362600,,false,2026-01-17 19:47:03.633078,2026-01-17 19:47:03.633078,,250000
3DBall_20260117_204704_7gp8bs,0.0001,512,2048,64,3,128,0.003,0.9,0.95,489.466292517007,62.2688451086957,500.02,4.4,192.230641275678,145.447908749386,true,52,5836,5888,301,-6907064014318157815,,false,2026-01-17 19:52:06.093195,2026-01-17 19:52:06.093195,,750000
3DBall_20260117_205206_dg6hoj,0.001,128,32768,128,1,128,0.01,0.99,0.92,31.2417799752781,14.3495304003955,176,4.4,14.3357787264831,11.1446501256466,true,55,8037,8092,138,2323883372989588818,,false,2026-01-17 19:54:25.203261,2026-01-17 19:54:25.203261,,250000
